,params,aic,training_time
0,"(0, 0, 0, 0)",70660.14973557962,2.0759999752044678
1,"(0, 0, 0, 1)",65319.713587712424,21.04800009727478
2,"(0, 0, 1, 0)",58764.19087570028,10.983999967575073
3,"(0, 0, 1, 1)",54693.891071657985,85.44700002670288
4,"(0, 1, 0, 0)",64076.6810953965,2.432000160217285
5,"(0, 1, 0, 1)",61208.025051867466,35.980000019073486
6,"(0, 1, 1, 0)",57450.127745824706,24.187999963760376
7,"(0, 1, 1, 1)",53389.6487911722,129.92300009727478
8,"(0, 2, 0, 0)",61073.43929211347,3.734999895095825
9,"(0, 2, 0, 1)",59334.43145946015,56.687000036239624
10,"(0, 2, 1, 0)",57021.37213952886,36.83899998664856
11,"(0, 2, 1, 1)",53113.37679801154,148.25300002098083
12,"(1, 0, 0, 0)",55637.69269885607,0.8439998626708984
13,"(1, 0, 0, 1)",55532.636334650866,41.389999866485596
14,"(1, 0, 1, 0)",55504.5473640906,45.09299993515015
15,"(1, 0, 1, 1)",53015.51161617913,87.16400003433228
16,"(1, 1, 0, 0)",53823.19017986032,4.25
17,"(1, 1, 0, 1)",53718.686626782066,75.5
18,"(1, 1, 1, 0)",53704.35317809022,67.01699995994568
19,"(1, 1, 1, 1)",52940.684497512586,140.1289999485016
20,"(1, 2, 0, 0)",53215.80324045118,9.40499997138977
21,"(1, 2, 0, 1)",53146.89342661423,120.23200011253357
22,"(1, 2, 1, 0)",53139.79787621429,108.91700005531311
23,"(1, 2, 1, 1)",53034.58338663155,165.91100001335144
24,"(2, 0, 0, 0)",54727.62013165092,1.2799999713897705
25,"(2, 0, 0, 1)",54629.469218236736,51.7039999961853
26,"(2, 0, 1, 0)",54610.06071299055,58.9210000038147
27,"(2, 0, 1, 1)",52954.70900100891,134.09400010108948
28,"(2, 1, 0, 0)",53018.41634003259,11.355999946594238
29,"(2, 1, 0, 1)",52941.14151183551,160.45700001716614
30,"(2, 1, 1, 0)",52933.22157739905,153.73100018501282
31,"(2, 1, 1, 1)",52854.66490122926,167.66100001335144
32,"(2, 2, 0, 0)",52968.96037224058,16.832000017166138
33,"(2, 2, 0, 1)",52885.73561275313,202.7189998626709
34,"(2, 2, 1, 0)",52879.95989867136,165.83300018310547
35,"(2, 2, 1, 1)",52872.92551879208,261.04699993133545
