,history,ys
1386_2016-04-30_23_1,39,29.50990108215355
1386_2016-04-30_23_2,31,22.21838280676691
1386_2016-04-30_23_3,18,15.754705773650201
1386_2016-04-30_23_4,15,11.785222416158607
1386_2016-04-30_23_5,12,9.075731735750605
1386_2016-04-30_23_6,12,9.139255218891034
1386_2016-05-01_0_1,31,28.28686276658314
1386_2016-05-01_0_2,18,22.77373141640721
1386_2016-05-01_0_3,15,18.280499241629155
1386_2016-05-01_0_4,12,15.550454588128392
1386_2016-05-01_0_5,12,15.427623445214206
1386_2016-05-01_0_6,28,26.495691361253225
1386_2016-05-01_1_1,18,24.508657371526517
1386_2016-05-01_1_2,15,20.28717798950392
1386_2016-05-01_1_3,12,17.40739807724145
1386_2016-05-01_1_4,12,17.2786907311206
1386_2016-05-01_1_5,28,28.29348147071023
1386_2016-05-01_1_6,53,41.34461948044769
1386_2016-05-01_2_1,15,16.1251922013324
1386_2016-05-01_2_2,12,12.593493250100718
1386_2016-05-01_2_3,12,12.823992022901269
1386_2016-05-01_2_4,28,23.85287942993794
1386_2016-05-01_2_5,53,37.03182626665269
1386_2016-05-01_2_6,57,36.31126275804614
1386_2016-05-01_3_1,12,11.873984804104804
1386_2016-05-01_3_2,12,11.991782265916509
1386_2016-05-01_3_3,28,23.08276787548714
1386_2016-05-01_3_4,53,36.26415169103958
1386_2016-05-01_3_5,57,35.5656832916341
1386_2016-05-01_3_6,62,38.69543102703043
1386_2016-05-01_4_1,12,12.072363163707177
1386_2016-05-01_4_2,28,23.175970686018662
1386_2016-05-01_4_3,53,36.3503998522696
1386_2016-05-01_4_4,57,35.65165852494544
1386_2016-05-01_4_5,62,38.77893173242467
1386_2016-05-01_4_6,73,48.515670680617944
1386_2016-05-01_5_1,28,23.129697784904838
1386_2016-05-01_5_2,53,36.296878924189855
1386_2016-05-01_5_3,57,35.60213124558684
1386_2016-05-01_5_4,62,38.729561179622095
1386_2016-05-01_5_5,73,48.46772110460702
1386_2016-05-01_5_6,54,42.755016930731486
1386_2016-05-01_6_1,53,39.41121225689873
1386_2016-05-01_6_2,57,39.20428296514833
1386_2016-05-01_6_3,62,42.0629259195045
1386_2016-05-01_6_4,73,51.79053758134178
1386_2016-05-01_6_5,54,45.982196538354145
1386_2016-05-01_6_6,52,43.8109042704116
1386_2016-05-01_7_1,57,47.89368513166647
1386_2016-05-01_7_2,62,52.11340594595023
1386_2016-05-01_7_3,73,61.091066361713345
1386_2016-05-01_7_4,54,55.25329426852771
1386_2016-05-01_7_5,52,52.815162478645206
